City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
333,Brits,ZA,-25.6347,27.7802,66.18,62,62,4.07,broken clouds
334,Ahipara,NZ,-35.1667,173.1667,64.18,66,1,11.77,clear sky
335,Putyatino,RU,54.16,41.1169,35.46,100,100,6.35,light rain
336,Susanino,RU,58.1461,41.5872,23.65,94,100,9.66,light snow
337,Tagusao,PH,9.1924,117.8141,85.5,66,86,2.24,overcast clouds
338,Kaitangata,NZ,-46.2817,169.8464,53.17,88,75,10.8,broken clouds
339,Chuy,UY,-33.6971,-53.4616,53.47,93,26,4.76,scattered clouds
340,Torres,BR,-29.3353,-49.7269,69.82,96,44,9.06,scattered clouds
341,Krasnoselkup,RU,65.7,82.4667,-24.47,98,87,7.76,overcast clouds
342,Fatehpur,IN,25.9333,80.8,73.15,33,44,7.11,scattered clouds
343,College,US,64.8569,-147.8028,15.58,88,75,0.0,light snow
344,Vikulovo,RU,56.8167,70.6107,-9.06,96,16,4.34,few clouds
